"日足・最新の選択","当日"," 8月26日","日足"
"市場","銘柄コード","銘柄名","始値","高値","安値","終値","出来高","","","","","","","","","","","","","","",""
"","","","実","実","実","実","        実","","","","","","","","","","","","","","",""
ＪＱ,1782,常磐開,480.0,510.0,480.0,509.0,79000,,,,,,,,,,,,,,,
ＪＱ,1783,アジアゲート,57.0,70.0,56.0,61.0,302900,,,,,,,,,,,,,,,
ＪＱ,1787,ナカボーテク,1089.0,1095.0,1089.0,1095.0,5000,,,,,,,,,,,,,,,
ＪＱ,1788,三東工,158.0,162.0,158.0,161.0,16000,,,,,,,,,,,,,,,
ＪＱ,1789,山加電,404.0,410.0,402.0,410.0,9700,,,,,,,,,,,,,,,
ＪＱ,1793,大本組,910.0,910.0,894.0,894.0,4000,,,,,,,,,,,,,,,
ＪＱ,1795,マサル,402.0,410.0,398.0,410.0,4000,,,,,,,,,,,,,,,
ＪＱ,1798,守谷商,245.0,249.0,245.0,249.0,2000,,,,,,,,,,,,,,,
ＪＱ,1799,第一建,1180.0,1236.0,1130.0,1236.0,3100,,,,,,,,,,,,,,,
東１,1801,大成建,748.0,767.0,743.0,765.0,12444000,,,,,,,,,,,,,,,
東１,1802,大林組,971.0,992.0,967.0,977.0,6402000,,,,,,,,,,,,,,,
東１,1803,清水建,1100.0,1109.0,1083.0,1101.0,6815000,,,,,,,,,,,,,,,
東１,1805,飛島建,225.0,232.0,220.0,231.0,5268700,,,,,,,,,,,,,,,
ＪＱ,1807,佐藤渡,241.0,256.0,240.0,246.0,41000,,,,,,,,,,,,,,,
東１,1808,長谷工,1413.0,1420.0,1364.0,1412.0,3634300,,,,,,,,,,,,,,,
東１,1810,松井建,576.0,593.0,560.0,587.0,83700,,,,,,,,,,,,,,,
東１,1811,銭高組,336.0,346.0,336.0,343.0,74000,,,,,,,,,,,,,,,
東１,1812,鹿島,634.0,649.0,627.0,646.0,7721000,,,,,,,,,,,,,,,
東１,1813,不動テトラ,157.0,162.0,156.0,161.0,2290200,,,,,,,,,,,,,,,
東１,1814,大末建,770.0,770.0,731.0,748.0,24200,,,,,,,,,,,,,,,
東１,1815,鉄建,321.0,326.0,311.0,318.0,2775000,,,,,,,,,,,,,,,
東１,1820,西松建,486.0,489.0,473.0,486.0,4266000,,,,,,,,,,,,,,,
東１,1821,三住建,152.0,154.0,148.0,153.0,40380800,,,,,,,,,,,,,,,
東１,1822,大豊建,511.0,542.0,503.0,535.0,2323000,,,,,,,,,,,,,,,
東１,1824,前田建,874.0,893.0,865.0,886.0,1169000,,,,,,,,,,,,,,,
東１,1826,佐田建,120.0,124.0,117.0,122.0,553000,,,,,,,,,,,,,,,
東１,1827,ナカノフドー,675.0,710.0,656.0,702.0,319000,,,,,,,,,,,,,,,
